Iteration,Vivants,Morts
0,963,39037
1,963,39037
2,963,39037
3,963,39037
4,963,39037
5,963,39037
6,963,39037
7,963,39037
8,963,39037
9,963,39037
10,963,39037
11,963,39037
12,963,39037
13,963,39037
14,963,39037
15,963,39037
16,963,39037
17,963,39037
18,963,39037
19,963,39037
20,963,39037
21,963,39037
22,963,39037
23,963,39037
24,963,39037
25,963,39037
26,963,39037
27,963,39037
28,963,39037
29,963,39037
30,963,39037
31,963,39037
32,963,39037
33,963,39037
34,963,39037
35,963,39037
36,963,39037
37,963,39037
38,963,39037
39,963,39037
40,963,39037
41,963,39037
42,963,39037
43,963,39037
44,963,39037
45,963,39037
46,963,39037
47,963,39037
48,963,39037
49,963,39037
50,963,39037
51,963,39037
52,963,39037
53,963,39037
54,963,39037
55,963,39037
56,963,39037
57,963,39037
58,963,39037
59,963,39037
60,963,39037
61,963,39037
62,963,39037
63,963,39037
64,963,39037
65,963,39037
66,963,39037
67,963,39037
68,963,39037
69,963,39037
70,963,39037
71,963,39037
72,963,39037
73,963,39037
74,963,39037
75,963,39037
76,963,39037
77,963,39037
78,963,39037
79,963,39037
80,963,39037
81,963,39037
82,963,39037
83,963,39037
84,963,39037
85,963,39037
86,963,39037
87,963,39037
88,963,39037
89,963,39037
90,963,39037
91,963,39037
92,963,39037
93,963,39037
94,963,39037
95,963,39037
96,963,39037
97,963,39037
98,963,39037
99,963,39037
100,963,39037
101,963,39037
102,963,39037
103,963,39037
104,963,39037
105,963,39037
106,963,39037
107,963,39037
108,963,39037
109,963,39037
110,963,39037
111,963,39037
112,963,39037
113,963,39037
114,963,39037
115,963,39037
116,963,39037
117,963,39037
118,963,39037
119,963,39037
120,963,39037
121,963,39037
122,963,39037
123,963,39037
124,963,39037
125,963,39037
126,963,39037
127,963,39037
128,963,39037
129,963,39037
130,963,39037
131,963,39037
132,963,39037
133,963,39037
134,963,39037
135,963,39037
136,963,39037
137,963,39037
138,963,39037
139,963,39037
140,963,39037
141,963,39037
142,963,39037
143,963,39037
144,963,39037
145,963,39037
146,963,39037
147,963,39037
148,963,39037
149,963,39037
150,963,39037
151,963,39037
152,963,39037
153,963,39037
154,963,39037
155,963,39037
156,963,39037
157,963,39037
158,963,39037
159,963,39037
160,963,39037
161,963,39037
162,963,39037
163,963,39037
164,963,39037
165,963,39037
166,963,39037
167,963,39037
168,963,39037
169,963,39037
170,963,39037
171,963,39037
172,963,39037
173,963,39037
174,963,39037
175,963,39037
176,963,39037
177,963,39037
178,963,39037
179,963,39037
180,963,39037
181,963,39037
182,963,39037
183,963,39037
184,963,39037
185,963,39037
186,963,39037
187,963,39037
188,963,39037
189,963,39037
190,963,39037
191,963,39037
192,963,39037
193,963,39037
194,963,39037
195,963,39037
196,963,39037
197,963,39037
198,963,39037
199,963,39037
200,963,39037
201,963,39037
202,963,39037
203,963,39037
204,963,39037
205,963,39037
206,963,39037
207,963,39037
208,963,39037
209,963,39037
210,963,39037
211,963,39037
212,963,39037
213,963,39037
214,963,39037
215,963,39037
216,963,39037
217,963,39037
218,963,39037
219,963,39037
220,963,39037
221,963,39037
222,963,39037
223,963,39037
224,963,39037
225,963,39037
226,963,39037
227,963,39037
228,963,39037
229,963,39037
230,963,39037
231,963,39037
232,963,39037
233,963,39037
234,963,39037
235,963,39037
236,963,39037
237,963,39037
238,963,39037
239,963,39037
240,963,39037
241,963,39037
242,963,39037
243,963,39037
244,963,39037
245,963,39037
246,963,39037
247,963,39037
248,963,39037
249,963,39037
250,963,39037
251,963,39037
252,963,39037
253,963,39037
254,963,39037
255,963,39037
256,963,39037
257,963,39037
258,963,39037
259,963,39037
260,963,39037
261,963,39037
262,963,39037
263,963,39037
264,963,39037
265,963,39037
266,963,39037
267,963,39037
268,963,39037
269,963,39037
270,963,39037
271,963,39037
272,963,39037
273,963,39037
274,963,39037
275,963,39037
276,963,39037
277,963,39037
278,963,39037
279,963,39037
280,963,39037
281,963,39037
282,963,39037
283,963,39037
284,963,39037
285,963,39037
286,963,39037
287,963,39037
288,963,39037
289,963,39037
290,963,39037
291,963,39037
292,963,39037
293,963,39037
294,963,39037
295,963,39037
296,963,39037
297,963,39037
298,963,39037
299,963,39037
300,963,39037
301,963,39037
302,963,39037
303,963,39037
304,963,39037
305,963,39037
306,963,39037
307,963,39037
308,963,39037
309,963,39037
310,963,39037
311,963,39037
312,963,39037
313,963,39037
314,963,39037
315,963,39037
316,963,39037
317,963,39037
318,963,39037
319,963,39037
320,963,39037
321,963,39037
322,963,39037
323,963,39037
324,963,39037
325,963,39037
326,963,39037
327,963,39037
328,963,39037
329,963,39037
330,963,39037
331,963,39037
332,963,39037
333,963,39037
334,963,39037
335,963,39037
336,963,39037
337,963,39037
338,963,39037
339,963,39037
340,963,39037
341,963,39037
342,963,39037
343,963,39037
344,963,39037
345,963,39037
346,963,39037
347,963,39037
348,963,39037
349,963,39037
350,963,39037
351,963,39037
352,963,39037
353,963,39037
354,963,39037
355,963,39037
356,963,39037
357,963,39037
358,963,39037
359,963,39037
360,963,39037
361,963,39037
362,963,39037
363,963,39037
364,963,39037
365,963,39037
366,963,39037
367,963,39037
368,963,39037
