Iteration,Vivants,Morts
0,18919,51837
1,17838,52918
2,17570,53186
3,16738,54018
4,16240,54516
5,15644,55112
6,15142,55614
7,14635,56121
8,14249,56507
9,13769,56987
10,13260,57496
11,12932,57824
12,12609,58147
13,12377,58379
14,12007,58749
15,12037,58719
16,11749,59007
17,11456,59300
18,11449,59307
19,11341,59415
20,11059,59697
21,10920,59836
22,10636,60120
23,10437,60319
24,10411,60345
25,10445,60311
26,10115,60641
27,10158,60598
28,9982,60774
29,9916,60840
30,9721,61035
31,9694,61062
32,9773,60983
33,9460,61296
34,9629,61127
35,9373,61383
36,9457,61299
37,9520,61236
38,9282,61474
39,9352,61404
40,9227,61529
41,9237,61519
42,9172,61584
43,8947,61809
44,8823,61933
45,8823,61933
46,8650,62106
47,8506,62250
48,8498,62258
49,8407,62349
50,8407,62349
51,8291,62465
52,8108,62648
53,8142,62614
54,8025,62731
55,8002,62754
56,7996,62760
57,7859,62897
58,7859,62897
59,7921,62835
60,7960,62796
61,7960,62796
62,7687,63069
63,7687,63069
64,7702,63054
65,7702,63054
66,7657,63099
67,7657,63099
68,7585,63171
69,7585,63171
70,7679,63077
71,7524,63232
72,7524,63232
73,7481,63275
74,7458,63298
75,7476,63280
76,7304,63452
77,7304,63452
78,7205,63551
79,7076,63680
80,7173,63583
81,7173,63583
82,7150,63606
83,7151,63605
84,7151,63605
85,7049,63707
86,7049,63707
87,7128,63628
88,7128,63628
89,7093,63663
90,7093,63663
91,7070,63686
92,7070,63686
93,7037,63719
94,7037,63719
95,6955,63801
96,6955,63801
97,6921,63835
98,6921,63835
99,6976,63780
100,6976,63780
101,6882,63874
102,6882,63874
103,6699,64057
104,6699,64057
105,6649,64107
106,6649,64107
107,6587,64169
108,6587,64169
109,6542,64214
110,6596,64160
111,6596,64160
112,6500,64256
113,6500,64256
114,6525,64231
115,6525,64231
116,6568,64188
117,6568,64188
118,6481,64275
119,6481,64275
120,6545,64211
121,6545,64211
122,6438,64318
123,6534,64222
124,6534,64222
125,6555,64201
126,6555,64201
127,6534,64222
128,6534,64222
129,6586,64170
130,6586,64170
131,6623,64133
132,6623,64133
133,6653,64103
134,6487,64269
135,6487,64269
136,6467,64289
137,6467,64289
138,6412,64344
139,6357,64399
140,6357,64399
141,6370,64386
142,6239,64517
143,6239,64517
144,6407,64349
145,6407,64349
146,6267,64489
147,6267,64489
148,6304,64452
149,6304,64452
150,6208,64548
151,6208,64548
152,6232,64524
153,6232,64524
154,6136,64620
155,6175,64581
156,6175,64581
157,6057,64699
158,6057,64699
159,6054,64702
160,6054,64702
161,6028,64728
162,6057,64699
163,6001,64755
164,6001,64755
165,6070,64686
166,6070,64686
167,6026,64730
168,6026,64730
169,6088,64668
170,6088,64668
171,6069,64687
172,6069,64687
173,5870,64886
174,5870,64886
175,5869,64887
176,5869,64887
177,5883,64873
178,5883,64873
179,5841,64915
180,5841,64915
181,5784,64972
182,5784,64972
183,5800,64956
184,5800,64956
185,5856,64900
186,5856,64900
187,5844,64912
188,5844,64912
189,5850,64906
190,5850,64906
191,5967,64789
192,5967,64789
193,5831,64925
194,5831,64925
195,5780,64976
196,5780,64976
197,5735,65021
198,5735,65021
199,5742,65014
200,5742,65014
201,5701,65055
202,5701,65055
203,5653,65103
204,5653,65103
205,5597,65159
206,5597,65159
207,5582,65174
208,5582,65174
209,5550,65206
210,5550,65206
211,5635,65121
212,5635,65121
213,5594,65162
214,5594,65162
215,5520,65236
216,5520,65236
217,5536,65220
218,5536,65220
219,5505,65251
220,5505,65251
221,5597,65159
222,5597,65159
223,5505,65251
224,5505,65251
225,5509,65247
226,5509,65247
227,5427,65329
228,5427,65329
229,5435,65321
230,5435,65321
231,5452,65304
232,5452,65304
233,5469,65287
234,5469,65287
235,5504,65252
236,5504,65252
237,5583,65173
238,5583,65173
239,5597,65159
240,5597,65159
241,5550,65206
242,5550,65206
243,5593,65163
244,5593,65163
245,5404,65352
246,5404,65352
247,5513,65243
248,5513,65243
249,5550,65206
250,5550,65206
251,5610,65146
252,5610,65146
253,5643,65113
254,5643,65113
255,5666,65090
256,5666,65090
257,5728,65028
258,5686,65070
259,5686,65070
260,5689,65067
261,5689,65067
262,5762,64994
263,5762,64994
264,5718,65038
265,5718,65038
266,5781,64975
267,5781,64975
268,5659,65097
269,5659,65097
270,5707,65049
271,5707,65049
272,5714,65042
273,5714,65042
274,5662,65094
275,5637,65119
276,5637,65119
277,5754,65002
278,5754,65002
279,5838,64918
280,5838,64918
281,5822,64934
282,5822,64934
283,5803,64953
284,5803,64953
285,5799,64957
286,5799,64957
287,5802,64954
288,5802,64954
289,5838,64918
290,5838,64918
291,5748,65008
292,5748,65008
293,5831,64925
294,5831,64925
295,5731,65025
296,5870,64886
297,5870,64886
298,5841,64915
299,5841,64915
300,5859,64897
301,5859,64897
302,5821,64935
303,5821,64935
304,5690,65066
305,5706,65050
306,5706,65050
307,5653,65103
308,5653,65103
309,5696,65060
310,5696,65060
311,5562,65194
312,5562,65194
313,5597,65159
314,5597,65159
315,5557,65199
316,5557,65199
317,5638,65118
318,5638,65118
319,5694,65062
320,5694,65062
321,5698,65058
322,5698,65058
323,5776,64980
324,5776,64980
325,5694,65062
326,5694,65062
327,5724,65032
328,5562,65194
329,5562,65194
330,5722,65034
331,5722,65034
332,5747,65009
333,5747,65009
334,5703,65053
335,5703,65053
336,5674,65082
337,5674,65082
338,5600,65156
339,5600,65156
340,5582,65174
341,5582,65174
342,5520,65236
343,5520,65236
344,5580,65176
345,5580,65176
346,5466,65290
347,5466,65290
348,5483,65273
349,5483,65273
350,5433,65323
351,5433,65323
352,5449,65307
353,5449,65307
354,5420,65336
355,5420,65336
356,5454,65302
357,5454,65302
358,5336,65420
359,5336,65420
360,5398,65358
361,5398,65358
362,5380,65376
363,5380,65376
