Iteration,Vivants,Morts
0,4925,5075
1,2838,7162
2,2838,7162
3,2528,7472
4,2528,7472
5,2552,7448
6,2552,7448
7,2389,7611
8,2389,7611
9,2365,7635
10,2365,7635
11,2273,7727
12,2273,7727
13,2236,7764
14,2236,7764
15,2226,7774
16,2226,7774
17,2226,7774
18,2156,7844
19,2156,7844
20,2017,7983
21,2017,7983
22,2017,7983
23,1958,8042
24,1958,8042
25,1958,8042
26,1905,8095
27,1905,8095
28,1848,8152
29,1848,8152
30,1848,8152
31,1788,8212
32,1788,8212
33,1788,8212
34,1802,8198
35,1802,8198
36,1754,8246
37,1754,8246
38,1754,8246
39,1720,8280
40,1720,8280
41,1720,8280
42,1714,8286
43,1714,8286
44,1706,8294
45,1706,8294
46,1711,8289
47,1711,8289
48,1591,8409
49,1591,8409
50,1616,8384
51,1616,8384
52,1616,8384
53,1609,8391
54,1609,8391
55,1609,8391
56,1625,8375
57,1625,8375
58,1625,8375
59,1601,8399
60,1601,8399
61,1602,8398
62,1602,8398
63,1602,8398
64,1578,8422
65,1578,8422
66,1578,8422
67,1531,8469
68,1531,8469
69,1531,8469
70,1522,8478
71,1522,8478
72,1522,8478
73,1503,8497
74,1503,8497
75,1503,8497
76,1479,8521
77,1479,8521
78,1479,8521
79,1531,8469
80,1531,8469
81,1531,8469
82,1479,8521
83,1479,8521
84,1479,8521
85,1431,8569
86,1431,8569
87,1431,8569
88,1441,8559
89,1441,8559
90,1441,8559
91,1461,8539
92,1461,8539
93,1461,8539
94,1429,8571
95,1429,8571
96,1429,8571
97,1408,8592
98,1408,8592
99,1408,8592
100,1320,8680
101,1320,8680
102,1320,8680
103,1359,8641
104,1359,8641
105,1359,8641
106,1309,8691
107,1309,8691
108,1309,8691
109,1350,8650
110,1350,8650
111,1350,8650
112,1269,8731
113,1269,8731
114,1269,8731
115,1289,8711
116,1289,8711
117,1289,8711
118,1311,8689
119,1311,8689
120,1311,8689
121,1341,8659
122,1341,8659
123,1341,8659
124,1330,8670
125,1330,8670
126,1330,8670
127,1322,8678
128,1322,8678
129,1322,8678
130,1322,8678
131,1322,8678
132,1322,8678
133,1315,8685
134,1315,8685
135,1315,8685
136,1279,8721
137,1279,8721
138,1279,8721
139,1279,8721
140,1279,8721
141,1279,8721
142,1280,8720
143,1280,8720
144,1280,8720
145,1235,8765
146,1235,8765
147,1235,8765
148,1225,8775
149,1225,8775
150,1225,8775
151,1286,8714
152,1286,8714
153,1286,8714
154,1252,8748
155,1252,8748
156,1252,8748
157,1334,8666
158,1334,8666
159,1334,8666
160,1259,8741
161,1259,8741
162,1259,8741
163,1247,8753
164,1247,8753
165,1247,8753
166,1216,8784
167,1216,8784
168,1216,8784
169,1242,8758
170,1242,8758
171,1242,8758
172,1216,8784
173,1216,8784
174,1216,8784
175,1226,8774
176,1226,8774
177,1226,8774
178,1201,8799
179,1201,8799
180,1201,8799
181,1157,8843
182,1157,8843
183,1157,8843
184,1189,8811
185,1189,8811
186,1189,8811
187,1242,8758
188,1242,8758
189,1242,8758
190,1256,8744
191,1256,8744
192,1256,8744
193,1288,8712
194,1288,8712
195,1288,8712
196,1314,8686
197,1314,8686
198,1314,8686
199,1294,8706
200,1294,8706
201,1294,8706
202,1278,8722
203,1278,8722
204,1255,8745
205,1255,8745
206,1255,8745
207,1299,8701
208,1299,8701
209,1299,8701
210,1267,8733
211,1267,8733
212,1267,8733
213,1271,8729
214,1271,8729
215,1271,8729
216,1259,8741
217,1259,8741
218,1259,8741
219,1218,8782
220,1218,8782
221,1218,8782
222,1245,8755
223,1245,8755
224,1245,8755
225,1167,8833
226,1167,8833
227,1167,8833
228,1207,8793
229,1207,8793
230,1207,8793
231,1198,8802
232,1198,8802
233,1198,8802
234,1207,8793
235,1207,8793
236,1207,8793
237,1204,8796
238,1204,8796
239,1204,8796
240,1227,8773
241,1227,8773
242,1227,8773
243,1234,8766
244,1234,8766
245,1234,8766
246,1277,8723
247,1277,8723
248,1277,8723
249,1237,8763
250,1237,8763
251,1237,8763
252,1235,8765
253,1235,8765
254,1235,8765
255,1273,8727
256,1273,8727
257,1273,8727
258,1332,8668
259,1332,8668
260,1332,8668
261,1259,8741
262,1259,8741
263,1259,8741
264,1273,8727
265,1273,8727
266,1273,8727
267,1206,8794
268,1206,8794
269,1206,8794
270,1251,8749
271,1251,8749
272,1251,8749
273,1195,8805
274,1195,8805
275,1195,8805
276,1248,8752
277,1248,8752
278,1248,8752
279,1203,8797
280,1203,8797
281,1203,8797
282,1169,8831
283,1169,8831
284,1169,8831
285,1170,8830
286,1170,8830
287,1170,8830
288,1140,8860
289,1140,8860
290,1140,8860
291,1169,8831
292,1169,8831
293,1169,8831
294,1177,8823
295,1177,8823
296,1177,8823
297,1111,8889
298,1111,8889
299,1111,8889
300,1088,8912
301,1088,8912
302,1088,8912
303,1118,8882
304,1118,8882
305,1118,8882
306,1108,8892
307,1108,8892
308,1108,8892
309,1091,8909
310,1091,8909
311,1091,8909
312,1091,8909
313,1091,8909
314,1091,8909
315,1151,8849
316,1151,8849
317,1151,8849
318,1103,8897
319,1103,8897
320,1103,8897
321,1120,8880
322,1120,8880
323,1120,8880
324,1101,8899
325,1101,8899
326,1101,8899
327,1127,8873
328,1127,8873
329,1127,8873
330,1138,8862
331,1138,8862
332,1138,8862
333,1147,8853
334,1147,8853
335,1147,8853
336,1115,8885
337,1115,8885
338,1115,8885
339,1186,8814
340,1186,8814
341,1186,8814
342,1195,8805
343,1195,8805
344,1195,8805
345,1138,8862
346,1138,8862
347,1138,8862
348,1145,8855
349,1145,8855
350,1145,8855
351,1136,8864
352,1136,8864
353,1136,8864
354,1159,8841
355,1159,8841
356,1159,8841
357,1111,8889
358,1111,8889
359,1111,8889
360,1171,8829
361,1171,8829
362,1171,8829
363,1138,8862
364,1138,8862
365,1138,8862
366,1084,8916
367,1084,8916
368,1084,8916
369,1135,8865
370,1135,8865
