Iteration,Vivants,Morts
0,500522,499478
1,273089,726911
2,252727,747273
3,250109,749891
4,238409,761591
5,231559,768441
6,223638,776362
7,217286,782714
8,210691,789309
9,205184,794816
10,199712,800288
11,194798,805202
12,190373,809627
13,185882,814118
14,182166,817834
15,178183,821817
16,174759,825241
17,171344,828656
18,168452,831548
19,166112,833888
20,163494,836506
21,160566,839434
22,157895,842105
23,155770,844230
24,153157,846843
25,151639,848361
26,149536,850464
27,147491,852509
28,145377,854623
29,144096,855904
30,142493,857507
31,140496,859504
32,139785,860215
33,137653,862347
34,136433,863567
35,134874,865126
36,133941,866059
37,132579,867421
38,131448,868552
39,130666,869334
40,129334,870666
41,128506,871494
42,127224,872776
43,126535,873465
44,125788,874212
45,124228,875772
46,123055,876945
47,122236,877764
48,121023,878977
49,120132,879868
50,119589,880411
51,119199,880801
52,118045,881955
53,117399,882601
54,116608,883392
55,116202,883798
56,114941,885059
57,114988,885012
58,113707,886293
59,113482,886518
60,112683,887317
61,111720,888280
62,111002,888998
63,110650,889350
64,109954,890046
65,109444,890556
66,108990,891010
67,108174,891826
68,106974,893026
69,106934,893066
70,106041,893959
71,105660,894340
72,105349,894651
73,104593,895407
74,104087,895913
75,103705,896295
76,103337,896663
77,103318,896682
78,102794,897206
79,101807,898193
80,101430,898570
81,100609,899391
82,100377,899623
83,100040,899960
84,100055,899945
85,99515,900485
86,99207,900793
87,98971,901029
88,98662,901338
89,98143,901857
90,97602,902398
91,97364,902636
92,97399,902601
93,96896,903104
94,96934,903066
95,96202,903798
96,95828,904172
97,95337,904663
98,95174,904826
99,94563,905437
100,94880,905120
101,94098,905902
102,93998,906002
103,93506,906494
104,93597,906403
105,92940,907060
106,92419,907581
107,91741,908259
108,91656,908344
109,91532,908468
110,90935,909065
111,90406,909594
112,90385,909615
113,89916,910084
114,89764,910236
115,89499,910501
116,89321,910679
117,89209,910791
118,88609,911391
119,88960,911040
120,88135,911865
121,88439,911561
122,87905,912095
123,87479,912521
124,87617,912383
125,86492,913508
126,86474,913526
127,85922,914078
128,85959,914041
129,85477,914523
130,85371,914629
131,84849,915151
132,84356,915644
133,84104,915896
134,83795,916205
135,83615,916385
136,83599,916401
137,83690,916310
138,83850,916150
139,83162,916838
140,83130,916870
141,82441,917559
142,82933,917067
143,82404,917596
144,82303,917697
145,81943,918057
146,81569,918431
147,81321,918679
148,81122,918878
149,80959,919041
150,80430,919570
151,80302,919698
152,80082,919918
153,80158,919842
154,80075,919925
155,80198,919802
156,80118,919882
157,79702,920298
158,79915,920085
159,79413,920587
160,79572,920428
161,79077,920923
162,79426,920574
163,78961,921039
164,79040,920960
165,78979,921021
166,78830,921170
167,78653,921347
168,78039,921961
169,78395,921605
170,78287,921713
171,78590,921410
172,77940,922060
173,78312,921688
174,78181,921819
