Temps,Taille,Nombre de cellule
261.8,10000,2794
282.9,10000,2612
262.4,10000,2541
265.4,10000,2483
262.5,10000,2441
258.3,10000,2258
268.0,10000,2319
266.1,10000,2200
256.4,10000,2087
254.0,10000,1966
269.3,10000,1920
266.2,10000,1918
253.3,10000,1750
263.8,10000,1815
260.8,10000,1747
301.2,10000,1753
256.3,10000,1663
264.5,10000,1684
260.3,10000,1629
257.4,10000,1595
331.1,10000,1532
266.4,10000,1549
291.3,10000,1478
261.3,10000,1547
254.2,10000,1502
263.6,10000,1489
256.4,10000,1491
255.6,10000,1483
255.4,10000,1512
256.8,10000,1475
259.4,10000,1457
253.1,10000,1446
263.7,10000,1416
255.3,10000,1382
335.0,10000,1345
261.2,10000,1369
258.9,10000,1290
261.7,10000,1353
254.6,10000,1302
281.7,10000,1390
256.5,10000,1260
258.9,10000,1304
276.5,10000,1262
258.5,10000,1257
254.5,10000,1276
274.7,10000,1231
259.6,10000,1241
252.3,10000,1286
291.3,10000,1283
278.8,10000,1259
257.4,10000,1288
256.1,10000,1282
263.1,10000,1256
259.1,10000,1287
252.3,10000,1217
292.8,10000,1252
254.0,10000,1221
259.2,10000,1258
255.2,10000,1254
264.4,10000,1236
252.9,10000,1210
264.9,10000,1231
250.4,10000,1183
273.8,10000,1140
293.1,10000,1206
254.9,10000,1191
262.0,10000,1208
253.7,10000,1166
265.7,10000,1202
256.6,10000,1208
247.0,10000,1251
250.9,10000,1199
247.4,10000,1230
250.5,10000,1199
246.8,10000,1246
256.9,10000,1182
247.0,10000,1179
252.2,10000,1156
248.1,10000,1203
253.5,10000,1126
245.6,10000,1204
348.4,10000,1134
244.9,10000,1137
254.3,10000,1168
251.1,10000,1216
274.6,10000,1176
256.5,10000,1154
246.7,10000,1136
250.1,10000,1160
247.2,10000,1159
342.3,10000,1220
272.8,10000,1179
256.6,10000,1228
267.5,10000,1251
247.4,10000,1180
253.1,10000,1183
245.7,10000,1132
257.4,10000,1176
247.4,10000,1113
251.7,10000,1194
249.4,10000,1101
285.0,10000,1099
250.8,10000,1083
250.2,10000,1118
248.8,10000,1106
252.4,10000,1071
244.5,10000,1071
250.8,10000,1067
249.0,10000,1127
251.3,10000,1043
247.5,10000,1092
252.7,10000,1088
256.4,10000,1102
255.8,10000,1135
246.6,10000,1159
254.3,10000,1224
247.8,10000,1173
257.9,10000,1172
244.8,10000,1209
255.0,10000,1195
250.3,10000,1235
263.8,10000,1161
256.1,10000,1185
255.6,10000,1197
256.5,10000,1226
251.2,10000,1246
249.6,10000,1227
258.7,10000,1231
246.9,10000,1278
255.2,10000,1213
245.7,10000,1205
252.5,10000,1182
284.5,10000,1130
260.2,10000,1110
258.1,10000,1170
251.3,10000,1152
252.4,10000,1163
247.3,10000,1093
258.0,10000,1093
245.2,10000,1039
252.3,10000,1050
248.1,10000,1033
254.8,10000,1093
251.7,10000,1094
250.3,10000,1066
247.6,10000,1113
262.0,10000,1063
256.1,10000,1038
246.3,10000,1044
253.4,10000,996
251.6,10000,1062
252.1,10000,1054
250.5,10000,1058
254.2,10000,1068
248.9,10000,1078
255.6,10000,1057
251.0,10000,1047
251.1,10000,1098
251.7,10000,1072
255.9,10000,1018
243.5,10000,1026
262.8,10000,987
248.5,10000,1005
254.4,10000,974
247.8,10000,1017
251.1,10000,996
256.8,10000,967
252.3,10000,998
254.7,10000,987
256.6,10000,1021
249.6,10000,1013
250.3,10000,1013
248.3,10000,1014
264.1,10000,1004
247.7,10000,1015
271.9,10000,1034
254.8,10000,994
258.3,10000,1006
256.0,10000,968
249.1,10000,935
258.5,10000,946
259.8,10000,930
249.8,10000,911
248.4,10000,956
248.1,10000,888
246.2,10000,923
250.8,10000,911
248.0,10000,952
249.2,10000,911
248.3,10000,899
254.9,10000,900
246.1,10000,935
247.9,10000,918
247.1,10000,912
248.5,10000,882
250.6,10000,898
254.5,10000,893
247.9,10000,883
249.3,10000,888
247.8,10000,854
248.1,10000,872
246.2,10000,800
250.8,10000,788
250.9,10000,768
263.9,10000,792
250.0,10000,775
252.6,10000,762
246.5,10000,765
256.4,10000,783
251.1,10000,770
254.0,10000,746
264.6,10000,743
250.8,10000,699
257.9,10000,705
245.6,10000,705
253.2,10000,695
247.5,10000,693
251.5,10000,661
259.8,10000,634
246.9,10000,626
252.7,10000,630
255.9,10000,645
256.0,10000,596
261.8,10000,633
247.6,10000,634
269.0,10000,630
244.7,10000,639
257.0,10000,608
254.7,10000,578
247.4,10000,595
338.1,10000,563
261.3,10000,567
255.8,10000,589
251.8,10000,621
263.5,10000,577
254.5,10000,588
259.4,10000,570
244.2,10000,535
261.5,10000,521
254.9,10000,537
250.3,10000,524
256.0,10000,546
259.5,10000,520
246.6,10000,554
254.3,10000,563
258.5,10000,569
251.9,10000,563
251.3,10000,602
261.6,10000,572
250.4,10000,590
254.9,10000,598
245.1,10000,601
257.4,10000,586
250.7,10000,575
252.0,10000,579
252.9,10000,569
266.1,10000,581
247.3,10000,595
258.6,10000,597
246.4,10000,633
255.5,10000,620
253.4,10000,635
247.8,10000,634
251.6,10000,660
250.4,10000,578
252.3,10000,568
251.9,10000,597
246.6,10000,571
254.3,10000,561
248.3,10000,576
257.5,10000,574
250.6,10000,571
263.0,10000,566
247.2,10000,571
255.1,10000,577
250.6,10000,600
260.3,10000,588
282.3,10000,604
247.0,10000,577
250.5,10000,602
251.2,10000,606
245.1,10000,620
256.2,10000,633
255.0,10000,626
261.9,10000,626
276.6,10000,625
252.6,10000,623
251.6,10000,630
265.3,10000,661
255.6,10000,638
266.8,10000,645
242.6,10000,629
256.2,10000,657
245.5,10000,645
258.9,10000,679
251.7,10000,655
249.2,10000,694
247.9,10000,657
249.5,10000,685
250.5,10000,663
260.5,10000,704
257.2,10000,707
256.7,10000,700
246.1,10000,731
257.9,10000,695
254.8,10000,703
247.8,10000,671
254.4,10000,662
252.5,10000,671
249.6,10000,683
253.9,10000,674
248.4,10000,660
255.3,10000,675
247.5,10000,708
266.2,10000,662
252.0,10000,651
255.2,10000,663
245.8,10000,690
255.1,10000,670
248.8,10000,678
250.7,10000,697
255.8,10000,667
263.3,10000,648
245.6,10000,641
256.6,10000,631
276.2,10000,654
259.4,10000,663
248.8,10000,698
249.9,10000,673
252.7,10000,641
250.3,10000,651
246.5,10000,631
259.0,10000,648
251.2,10000,681
250.0,10000,638
256.6,10000,676
260.0,10000,637
250.0,10000,613
252.8,10000,610
256.1,10000,596
285.6,10000,594
255.2,10000,597
247.7,10000,600
252.6,10000,581
265.1,10000,586
262.7,10000,561
256.4,10000,571
249.6,10000,581
257.0,10000,583
286.7,10000,592
258.2,10000,617
258.4,10000,585
247.8,10000,648
255.5,10000,649
249.4,10000,668
252.2,10000,659
253.6,10000,668
244.9,10000,669
248.4,10000,694
246.2,10000,655
251.3,10000,646
248.2,10000,642
270.2,10000,648
256.2,10000,652
253.5,10000,656
250.5,10000,650
256.1,10000,652
246.0,10000,687
254.6,10000,676
262.7,10000,649
249.2,10000,631
259.3,10000,657
247.7,10000,626
273.8,10000,643
254.0,10000,651
247.1,10000,669
259.7,10000,695
261.7,10000,680
257.4,10000,695
268.8,10000,660
254.3,10000,692
346.6,10000,660
255.0,10000,706
253.4,10000,680
248.1,10000,707
252.1,10000,693
251.5,10000,728
244.9,10000,734
249.9,10000,747
254.5,10000,725
251.3,10000,726
262.4,10000,759
251.1,10000,760
255.2,10000,789
255.6,10000,747
266.0,10000,740
252.9,10000,741
248.0,10000,729
253.4,10000,730
260.0,10000,718
250.7,10000,696
256.0,10000,717
246.4,10000,705
256.3,10000,721
245.8,10000,674
254.4,10000,657
249.7,10000,693
246.1,10000,685
251.2,10000,655
257.7,10000,662
267.6,10000,658
250.9,10000,665
246.3,10000,642
250.4,10000,683
249.6,10000,635
262.4,10000,628
259.1,10000,637
248.9,10000,623
257.5,10000,629
249.4,10000,655
255.3,10000,647
259.2,10000,667
248.7,10000,657
254.4,10000,672
255.9,10000,662
254.3,10000,643
259.1,10000,712
250.7,10000,672
254.7,10000,677
259.6,10000,657
247.3,10000,694
251.9,10000,667
270.1,10000,661
268.2,10000,658
254.6,10000,626
249.5,10000,642
251.7,10000,652
258.1,10000,674
249.5,10000,674
255.4,10000,691
266.5,10000,650
256.4,10000,643
257.9,10000,689
248.1,10000,681
251.7,10000,665
259.4,10000,657
248.5,10000,693
255.8,10000,645
312.9,10000,661
263.7,10000,592
262.6,10000,606
269.9,10000,581
255.6,10000,583
255.0,10000,547
247.5,10000,557
254.3,10000,549
261.0,10000,554
254.3,10000,543
254.9,10000,533
249.6,10000,530
254.3,10000,539
261.7,10000,560
254.4,10000,556
300.8,10000,551
254.3,10000,558
266.8,10000,570
249.3,10000,568
251.9,10000,577
245.8,10000,573
252.9,10000,589
249.5,10000,590
256.2,10000,597
251.2,10000,586
249.2,10000,599
267.4,10000,599
253.7,10000,614
247.7,10000,627
283.7,10000,606
281.6,10000,642
252.4,10000,645
262.0,10000,654
240.4,10000,665
438.2,10000,646
251.5,10000,627
253.0,10000,616
259.3,10000,591
271.4,10000,584
251.3,10000,564
256.3,10000,589
265.9,10000,577
261.5,10000,583
282.3,10000,612
259.1,10000,625
266.7,10000,639
247.8,10000,616
263.0,10000,625
256.9,10000,655
252.9,10000,626
251.6,10000,608
292.0,10000,628
248.3,10000,596
255.2,10000,571
246.8,10000,547
254.1,10000,568
268.2,10000,546
262.0,10000,539
278.3,10000,529
255.1,10000,539
258.4,10000,529
253.3,10000,545
252.7,10000,550
266.1,10000,531
251.8,10000,538
249.9,10000,572
250.5,10000,553
260.2,10000,592
249.3,10000,563
261.3,10000,544
259.3,10000,558
249.7,10000,548
254.0,10000,552
272.2,10000,549
247.1,10000,555
288.5,10000,582
259.6,10000,590
258.2,10000,595
249.0,10000,587
293.7,10000,574
248.5,10000,563
259.0,10000,558
264.2,10000,570
264.7,10000,573
247.8,10000,563
252.5,10000,551
247.7,10000,555
256.8,10000,560
255.5,10000,556
248.7,10000,554
255.5,10000,564
247.1,10000,557
252.4,10000,552
245.7,10000,533
270.7,10000,544
265.9,10000,557
259.0,10000,518
248.1,10000,547
259.8,10000,543
251.8,10000,566
252.0,10000,548
248.4,10000,569
252.2,10000,559
248.6,10000,554
272.8,10000,549
253.3,10000,549
254.8,10000,550
249.9,10000,558
254.6,10000,541
255.6,10000,596
247.4,10000,564
270.8,10000,602
247.9,10000,582
270.9,10000,603
255.0,10000,616
247.7,10000,636
255.0,10000,582
246.3,10000,586
253.7,10000,539
258.3,10000,566
247.0,10000,543
250.5,10000,535
255.8,10000,553
246.9,10000,522
251.7,10000,551
260.1,10000,529
249.3,10000,544
252.8,10000,541
258.0,10000,516
247.0,10000,495
253.4,10000,514
264.0,10000,505
254.3,10000,522
262.9,10000,494
248.4,10000,480
255.0,10000,475
249.1,10000,476
256.7,10000,479
246.6,10000,475
260.6,10000,490
252.7,10000,502
250.4,10000,536
260.7,10000,533
248.7,10000,561
253.9,10000,533
246.7,10000,590
259.1,10000,568
262.1,10000,576
247.1,10000,576
272.7,10000,576
248.5,10000,591
259.7,10000,578
259.4,10000,552
248.6,10000,538
258.6,10000,546
249.7,10000,544
260.5,10000,552
256.1,10000,520
257.0,10000,492
255.4,10000,490
247.0,10000,487
252.7,10000,476
247.1,10000,482
261.4,10000,466
245.2,10000,493
255.2,10000,501
253.8,10000,523
256.0,10000,529
