Iteration,Vivants,Morts
0,19977,20023
1,11009,28991
2,10272,29728
3,10200,29800
4,9428,30572
5,9124,30876
6,9045,30955
7,8745,31255
8,8430,31570
9,8261,31739
10,7866,32134
11,7629,32371
12,7368,32632
13,7447,32553
14,7279,32721
15,7083,32917
16,7007,32993
17,6840,33160
18,6691,33309
19,6623,33377
20,6450,33550
21,6279,33721
22,6227,33773
23,6144,33856
24,6168,33832
25,5993,34007
26,5974,34026
27,5895,34105
28,5745,34255
29,5725,34275
30,5592,34408
31,5556,34444
32,5500,34500
33,5459,34541
34,5315,34685
35,5362,34638
36,5306,34694
37,5216,34784
38,5158,34842
39,5077,34923
40,5104,34896
41,5126,34874
42,5127,34873
43,5170,34830
44,5206,34794
45,5106,34894
46,5038,34962
47,4981,35019
48,5007,34993
49,5015,34985
50,5048,34952
51,4940,35060
52,4983,35017
53,4935,35065
54,5012,34988
55,4870,35130
56,4921,35079
57,4800,35200
58,4779,35221
59,4836,35164
60,4797,35203
61,4869,35131
62,4848,35152
63,4783,35217
64,4785,35215
65,4764,35236
66,4673,35327
67,4737,35263
68,4596,35404
69,4571,35429
70,4612,35388
71,4611,35389
72,4581,35419
73,4519,35481
74,4518,35482
75,4361,35639
76,4474,35526
77,4342,35658
78,4297,35703
79,4320,35680
80,4254,35746
81,4162,35838
82,4144,35856
83,4055,35945
84,4045,35955
85,4024,35976
86,3957,36043
87,4065,35935
88,3984,36016
89,4043,35957
90,4057,35943
91,4106,35894
92,4040,35960
93,4082,35918
94,4061,35939
95,4019,35981
96,3934,36066
97,3876,36124
98,3859,36141
99,3996,36004
100,3857,36143
101,3958,36042
102,3823,36177
103,3879,36121
104,3808,36192
105,3905,36095
106,3884,36116
107,3984,36016
108,3908,36092
109,3914,36086
110,3869,36131
111,3902,36098
112,3914,36086
113,3733,36267
114,3761,36239
115,3629,36371
116,3644,36356
117,3664,36336
118,3636,36364
119,3690,36310
120,3784,36216
121,3681,36319
122,3731,36269
123,3658,36342
124,3628,36372
125,3560,36440
126,3622,36378
127,3573,36427
128,3540,36460
129,3447,36553
130,3497,36503
131,3476,36524
132,3466,36534
133,3520,36480
134,3547,36453
